Distribuidora;Conjunto;Municipio;Estado;MUNICÍPIO_R;Endereco;LAT_SUB;LONG_SUB
CEMIG-D;LAVRAS 2;LAVRAS;MG;LAVRAS;CEMIG-D SUBESTACAO LAVRAS 2;-21,2488252;-45,0041104
ELEKTRO;CAIEIRAS;CAIEIRAS;SP;CAIEIRAS;ELEKTRO SUBESTACAO CAIEIRAS;-23,3754082;-46,6999016
CELG-D;CATALAO S1;CATALAO;GO;CATALAO;CELG-D SUBESTACAO CATALAO S1;-18,1513399;-47,9460066
CELG-D;CATALAO S2;CATALAO;GO;CATALAO;CELG-D SUBESTACAO CATALAO S2;-18,1513399;-47,9460066
CELESC-DIS;TUBARAO;TUBARAO;SC;TUBARAO;CELESC-DIS SUBESTACAO TUBARAO;-28,4852566;-49,0208936
CERGAL;CERGAL;TUBARAO;SC;TUBARAO;CERGAL SUBESTACAO CERGAL;-28,4665245;-49,0163946
CERGAL;CERGAL;TUBARAO;SC;TUBARAO;CERGAL SUBESTACAO CERGAL;-28,4665245;-49,0163946
CELESC-DIS;TUBARAO II;TUBARAO;SC;TUBARAO;CELESC-DIS SUBESTACAO TUBARAO II;-27,0720229;-48,9440976
EQUATORIAL PA;ALTAMIRA I;ALTAMIRA;PA;ALTAMIRA;EQUATORIAL PA SUBESTACAO ALTAMIRA I;-3,1362157;-52,1806403
EQUATORIAL PA;ALTAMIRA II;ALTAMIRA;PA;ALTAMIRA;EQUATORIAL PA SUBESTACAO ALTAMIRA II;-3,1362157;-52,1806403
EQUATORIAL PA;ALTAMIRA III;ALTAMIRA;PA;ALTAMIRA;EQUATORIAL PA SUBESTACAO ALTAMIRA III;-3,1362157;-52,1806403
EQUATORIAL PA;PRINCESA DO XINGU;ALTAMIRA;PA;ALTAMIRA;EQUATORIAL PA SUBESTACAO PRINCESA DO XINGU;-3,1362157;-52,1806403
ENEL RJ;SAO PEDRO DA ALDEIA;SAO PEDRO DA ALDEIA;RJ;SAO PEDRO DA ALDEIA;ENEL RJ SUBESTACAO SAO PEDRO DA ALDEIA;-22,8354114;-42,1004348
ENEL RJ;ITAPERUNA;ITAPERUNA;RJ;ITAPERUNA;ENEL RJ SUBESTACAO ITAPERUNA;-21,2004373;-41,8926645
